iter	Passed	Remaining
0	282	281730
1	334	166897
2	383	127420
3	432	107627
4	479	95396
5	525	86986
6	574	81487
7	645	80042
8	691	76138
9	737	73002
10	785	70602
11	830	68406
12	875	66433
13	919	64787
14	966	63492
15	1012	62256
16	1056	61118
17	1100	60064
18	1146	59173
19	1191	58377
20	1234	57529
21	1278	56820
22	1318	55988
23	1360	55341
24	1402	54689
25	1443	54068
26	1483	53465
27	1529	53081
28	1573	52691
29	1613	52182
30	1659	51864
31	1699	51412
32	1742	51067
33	1781	50625
34	1828	50426
35	1871	50124
36	1913	49790
37	1954	49468
38	1995	49176
39	2037	48896
40	2081	48687
41	2121	48395
42	2163	48140
43	2210	48026
44	2248	47723
45	2290	47503
46	2332	47291
47	2380	47220
48	2428	47126
49	2472	46974
50	2510	46713
51	2555	46594
52	2594	46360
53	2644	46323
54	2685	46145
55	2733	46079
56	2773	45892
57	2815	45719
58	2850	45456
59	2887	45232
60	2932	45135
61	2972	44972
62	3012	44801
63	3051	44623
64	3091	44468
65	3130	44298
66	3165	44080
67	3211	44021
68	3251	43867
69	3296	43798
70	3332	43605
71	3376	43514
72	3420	43431
73	3464	43354
74	3504	43219
75	3542	43067
76	3581	42925
77	3621	42802
78	3659	42660
79	3699	42539
80	3740	42437
81	3781	42335
82	3822	42233
83	3864	42136
84	3906	42051
85	3939	41866
86	3977	41742
87	4016	41629
88	4056	41518
89	4094	41398
90	4130	41256
91	4194	41394
92	4245	41405
93	4292	41368
94	4339	41340
95	4380	41251
96	4423	41182
97	4468	41132
98	4511	41055
99	4558	41027
100	4597	40918
101	4638	40840
102	4680	40761
103	4719	40656
104	4763	40606
105	4811	40578
106	4855	40524
107	4896	40443
108	4939	40374
109	4975	40257
110	5018	40196
111	5063	40148
112	5109	40109
113	5151	40038
114	5193	39969
115	5235	39901
116	5277	39831
117	5320	39771
118	5369	39754
119	5409	39671
120	5452	39612
121	5495	39548
122	5541	39508
123	5582	39440
124	5627	39389
125	5669	39324
126	5709	39247
127	5748	39160
128	5789	39088
129	5825	38986
130	5863	38895
131	5905	38833
132	5947	38773
133	5994	38737
134	6038	38690
135	6083	38646
136	6128	38605
137	6170	38542
138	6206	38445
139	6251	38399
140	6298	38369
141	6341	38318
142	6383	38254
143	6419	38159
144	6461	38101
145	6503	38039
146	6544	37977
147	6592	37952
148	6634	37892
149	6682	37866
150	6724	37807
151	6760	37714
152	6799	37642
153	6837	37559
154	6882	37523
155	6925	37466
156	6964	37393
157	7005	37332
158	7050	37294
159	7094	37244
160	7137	37194
161	7184	37165
162	7224	37096
163	7267	37046
164	7310	36995
165	7352	36940
166	7396	36895
167	7437	36833
168	7481	36788
169	7524	36738
170	7567	36688
171	7612	36645
172	7656	36601
173	7702	36563
174	7749	36532
175	7818	36602
176	7859	36546
177	7894	36455
178	7937	36407
179	7980	36353
180	8025	36313
181	8066	36255
182	8110	36208
183	8151	36149
184	8192	36089
185	8235	36042
186	8277	35988
187	8319	35934
188	8364	35893
189	8407	35842
190	8449	35789
191	8491	35735
192	8539	35704
193	8582	35656
194	8620	35587
195	8661	35530
196	8708	35498
197	8752	35453
198	8794	35399
199	8841	35366
200	8883	35312
201	8928	35273
202	8970	35220
203	9015	35176
204	9059	35134
205	9101	35081
206	9144	35032
207	9187	34982
208	9230	34936
209	9276	34895
210	9313	34825
211	9354	34772
212	9398	34724
213	9439	34670
214	9484	34628
215	9524	34571
216	9572	34538
217	9617	34499
218	9663	34463
219	9710	34427
220	9750	34370
221	9794	34326
222	9833	34262
223	9874	34209
224	9916	34155
225	9954	34091
226	9998	34046
227	10042	34002
228	10085	33955
229	10124	33895
230	10166	33843
231	10209	33798
232	10250	33742
233	10294	33699
234	10339	33659
235	10381	33608
236	10422	33553
237	10462	33497
238	10508	33460
239	10548	33404
240	10588	33348
241	10629	33294
242	10674	33253
243	10709	33180
244	10749	33124
245	10786	33060
246	10828	33010
247	10870	32962
248	10907	32898
249	10952	32856
250	10996	32812
251	11042	32776
252	11084	32729
253	11126	32678
254	11168	32628
255	11207	32572
256	11250	32526
257	11292	32476
258	11338	32440
259	11382	32396
260	11428	32357
261	11473	32319
262	11517	32275
263	11558	32223
264	11618	32223
265	11671	32205
266	11718	32169
267	11759	32119
268	11804	32079
269	11856	32056
270	11906	32028
271	11949	31981
272	11991	31933
273	12033	31883
274	12079	31845
275	12116	31784
276	12162	31746
277	12211	31715
278	12252	31662
279	12301	31631
280	12343	31582
281	12386	31538
282	12432	31499
283	12474	31449
284	12518	31406
285	12557	31350
286	12597	31295
287	12637	31243
288	12680	31195
289	12727	31160
290	12773	31122
291	12815	31073
292	12855	31019
293	12898	30973
294	12940	30926
295	12983	30880
296	13029	30840
297	13072	30794
298	13111	30739
299	13154	30693
300	13192	30637
301	13238	30598
302	13281	30551
303	13320	30496
304	13366	30457
305	13406	30406
306	13450	30362
307	13491	30311
308	13531	30259
309	13576	30217
310	13620	30174
311	13665	30134
312	13708	30087
313	13748	30037
314	13788	29985
315	13831	29939
316	13870	29884
317	13909	29831
318	13946	29773
319	13989	29726
320	14030	29677
321	14071	29628
322	14115	29584
323	14155	29535
324	14199	29491
325	14238	29438
326	14283	29396
327	14331	29361
328	14370	29307
329	14411	29259
330	14456	29219
331	14500	29175
332	14544	29132
333	14586	29086
334	14628	29038
335	14672	28995
336	14714	28949
337	14754	28898
338	14796	28851
339	14837	28803
340	14877	28751
341	14922	28711
342	14959	28654
343	15005	28614
344	15047	28567
345	15090	28524
346	15143	28498
347	15190	28460
348	15225	28400
349	15274	28366
350	15318	28324
351	15368	28291
352	15413	28250
353	15456	28205
354	15498	28159
355	15544	28120
356	15587	28075
357	15628	28026
358	15697	28028
359	15737	27978
360	15773	27920
361	15817	27876
362	15857	27826
363	15897	27777
364	15943	27736
365	15987	27693
366	16028	27646
367	16071	27600
368	16118	27562
369	16157	27511
370	16198	27463
371	16239	27414
372	16281	27368
373	16321	27318
374	16365	27276
375	16408	27231
376	16460	27201
377	16501	27152
378	16543	27106
379	16583	27057
380	16627	27013
381	16664	26959
382	16707	26915
383	16748	26866
384	16786	26815
385	16828	26767
386	16873	26726
387	16914	26679
388	16955	26631
389	16994	26581
390	17036	26535
391	17076	26486
392	17121	26444
393	17162	26397
394	17204	26350
395	17242	26299
396	17281	26248
397	17319	26196
398	17359	26148
399	17403	26104
400	17447	26062
401	17490	26017
402	17532	25973
403	17571	25922
404	17611	25873
405	17653	25828
406	17693	25780
407	17739	25739
408	17783	25697
409	17824	25649
410	17862	25598
411	17906	25555
412	17947	25508
413	17986	25459
414	18030	25415
415	18067	25363
416	18104	25312
417	18150	25272
418	18191	25224
419	18234	25181
420	18273	25131
421	18329	25104
422	18372	25061
423	18412	25012
424	18454	24967
425	18503	24932
426	18541	24881
427	18583	24835
428	18625	24790
429	18669	24747
430	18708	24698
431	18749	24652
432	18791	24606
433	18834	24562
434	18874	24515
435	18919	24474
436	18972	24442
437	19009	24391
438	19055	24350
439	19095	24303
440	19136	24256
441	19178	24211
442	19222	24168
443	19287	24153
444	19329	24108
445	19373	24064
446	19414	24017
447	19458	23976
448	19500	23930
449	19546	23889
450	19589	23846
451	19634	23804
452	19682	23766
453	19723	23720
454	19763	23672
455	19807	23629
456	19847	23582
457	19889	23537
458	19935	23497
459	19983	23458
460	20024	23413
461	20067	23368
462	20109	23323
463	20155	23282
464	20196	23236
465	20237	23190
466	20282	23148
467	20322	23101
468	20370	23062
469	20407	23013
470	20455	22974
471	20499	22931
472	20538	22882
473	20581	22838
474	20621	22792
475	20661	22745
476	20702	22698
477	20748	22658
478	20788	22610
479	20831	22567
480	20870	22519
481	20912	22474
482	20954	22429
483	20992	22380
484	21033	22334
485	21078	22292
486	21117	22244
487	21153	22193
488	21193	22147
489	21233	22099
490	21275	22055
491	21320	22014
492	21360	21967
493	21402	21922
494	21445	21879
495	21485	21831
496	21524	21784
497	21563	21736
498	21606	21693
499	21645	21645
500	21685	21598
501	21727	21554
502	21767	21508
503	21810	21464
504	21852	21420
505	21896	21377
506	21940	21334
507	21982	21289
508	22026	21247
509	22069	21204
510	22113	21161
511	22156	21117
512	22202	21077
513	22242	21030
514	22285	20987
515	22326	20941
516	22372	20900
517	22418	20860
518	22454	20810
519	22493	20763
520	22538	20721
521	22584	20680
522	22624	20634
523	22668	20592
524	22714	20551
525	22752	20502
526	22798	20462
527	22839	20416
528	22882	20373
529	22922	20327
530	22962	20281
531	23003	20236
532	23045	20191
533	23091	20150
534	23154	20124
535	23196	20080
536	23240	20037
537	23279	19991
538	23320	19945
539	23364	19903
540	23410	19862
541	23457	19821
542	23499	19777
543	23547	19738
544	23587	19692
545	23630	19648
546	23672	19604
547	23708	19554
548	23748	19509
549	23792	19466
550	23830	19418
551	23872	19375
552	23909	19326
553	23953	19283
554	23993	19238
555	24033	19192
556	24073	19146
557	24109	19097
558	24150	19052
559	24189	19006
560	24230	18961
561	24270	18915
562	24311	18870
563	24355	18828
564	24398	18784
565	24442	18742
566	24484	18698
567	24532	18658
568	24572	18612
569	24611	18566
570	24651	18521
571	24690	18474
572	24733	18431
573	24774	18386
574	24820	18345
575	24866	18304
576	24912	18263
577	24955	18220
578	24995	18174
579	25036	18129
580	25079	18086
581	25118	18040
582	25162	17998
583	25203	17952
584	25243	17908
585	25286	17864
586	25330	17821
587	25366	17773
588	25410	17731
589	25451	17686
590	25492	17641
591	25527	17593
592	25569	17549
593	25612	17506
594	25654	17462
595	25700	17420
596	25744	17378
597	25782	17332
598	25825	17288
599	25865	17243
600	25906	17199
601	25950	17156
602	25994	17114
603	26037	17071
604	26076	17025
605	26118	16981
606	26156	16934
607	26196	16889
608	26242	16848
609	26281	16802
610	26322	16758
611	26360	16712
612	26405	16670
613	26450	16628
614	26491	16584
615	26534	16541
616	26576	16497
617	26627	16459
618	26684	16424
619	26725	16380
620	26768	16337
621	26805	16290
622	26848	16246
623	26888	16201
624	26929	16157
625	26973	16115
626	27019	16073
627	27058	16028
628	27102	15985
629	27145	15942
630	27181	15895
631	27222	15851
632	27269	15810
633	27314	15768
634	27356	15724
635	27401	15682
636	27451	15643
637	27491	15598
638	27535	15556
639	27576	15511
640	27615	15466
641	27659	15423
642	27699	15378
643	27742	15336
644	27785	15292
645	27824	15247
646	27864	15202
647	27903	15157
648	27944	15113
649	27986	15069
650	28030	15027
651	28070	14982
652	28116	14941
653	28160	14898
654	28199	14853
655	28239	14808
656	28278	14763
657	28325	14722
658	28369	14679
659	28410	14635
660	28453	14592
661	28496	14549
662	28538	14505
663	28578	14461
664	28619	14417
665	28662	14374
666	28705	14331
667	28746	14287
668	28787	14243
669	28832	14200
670	28867	14154
671	28907	14109
672	28950	14066
673	28990	14022
674	29035	13979
675	29072	13934
676	29116	13891
677	29159	13848
678	29204	13806
679	29251	13765
680	29295	13723
681	29337	13679
682	29379	13636
683	29420	13592
684	29459	13547
685	29503	13504
686	29546	13461
687	29588	13418
688	29633	13375
689	29677	13333
690	29718	13289
691	29763	13247
692	29805	13203
693	29845	13159
694	29885	13115
695	29928	13072
696	29967	13027
697	30010	12984
698	30051	12940
699	30095	12897
700	30138	12855
701	30184	12813
702	30226	12770
703	30266	12725
704	30336	12693
705	30378	12650
706	30427	12609
707	30475	12569
708	30528	12529
709	30573	12487
710	30626	12448
711	30677	12408
712	30726	12368
713	30777	12328
714	30836	12291
715	30888	12251
716	30945	12214
717	30998	12174
718	31052	12135
719	31107	12097
720	31155	12055
721	31207	12016
722	31263	11978
723	31318	11939
724	31376	11901
725	31431	11862
726	31483	11822
727	31537	11783
728	31593	11744
729	31646	11704
730	31701	11665
731	31752	11625
732	31809	11586
733	31863	11547
734	31915	11507
735	31973	11468
736	32036	11432
737	32091	11392
738	32149	11354
739	32203	11314
740	32256	11274
741	32312	11235
742	32370	11196
743	32422	11156
744	32477	11116
745	32530	11076
746	32587	11036
747	32641	10996
748	32696	10957
749	32749	10916
750	32807	10877
751	32855	10835
752	32909	10795
753	32963	10754
754	33017	10714
755	33071	10673
756	33126	10633
757	33185	10594
758	33243	10555
759	33301	10516
760	33358	10476
761	33417	10437
762	33472	10396
763	33529	10357
764	33584	10316
765	33640	10276
766	33692	10235
767	33750	10195
768	33806	10155
769	33858	10113
770	33905	10070
771	33959	10029
772	34012	9988
773	34070	9948
774	34126	9907
775	34187	9868
776	34238	9826
777	34298	9787
778	34359	9747
779	34411	9705
780	34461	9663
781	34514	9621
782	34572	9581
783	34631	9541
784	34685	9499
785	34745	9459
786	34799	9418
787	34850	9376
788	34918	9338
789	34998	9303
790	35054	9262
791	35109	9220
792	35159	9177
793	35214	9136
794	35270	9094
795	35327	9053
796	35383	9012
797	35437	8970
798	35489	8927
799	35541	8885
800	35599	8844
801	35653	8802
802	35701	8758
803	35758	8717
804	35808	8673
805	35860	8631
806	35911	8588
807	35972	8547
808	36031	8506
809	36080	8463
810	36134	8420
811	36186	8378
812	36244	8336
813	36305	8295
814	36359	8253
815	36414	8211
816	36465	8168
817	36517	8124
818	36576	8083
819	36633	8041
820	36686	7998
821	36743	7956
822	36803	7915
823	36853	7871
824	36908	7829
825	36963	7786
826	37024	7745
827	37080	7702
828	37138	7660
829	37194	7618
830	37250	7575
831	37304	7532
832	37360	7490
833	37411	7446
834	37465	7403
835	37519	7360
836	37571	7316
837	37632	7274
838	37690	7232
839	37745	7189
840	37794	7145
841	37845	7101
842	37900	7058
843	37951	7014
844	38001	6970
845	38052	6926
846	38105	6883
847	38163	6840
848	38226	6798
849	38278	6754
850	38333	6711
851	38387	6668
852	38441	6624
853	38489	6580
854	38539	6535
855	38590	6491
856	38642	6447
857	38694	6403
858	38749	6360
859	38801	6316
860	38848	6271
861	38899	6227
862	38953	6183
863	39010	6140
864	39063	6096
865	39117	6052
866	39169	6008
867	39221	5964
868	39272	5920
869	39324	5876
870	39409	5836
871	39460	5792
872	39516	5748
873	39567	5704
874	39619	5659
875	39673	5615
876	39719	5570
877	39773	5526
878	39826	5482
879	39881	5438
880	39934	5394
881	39988	5349
882	40053	5307
883	40107	5262
884	40159	5218
885	40215	5174
886	40279	5131
887	40331	5086
888	40384	5042
889	40436	4997
890	40487	4953
891	40545	4909
892	40598	4864
893	40650	4819
894	40704	4775
895	40752	4730
896	40803	4685
897	40864	4641
898	40914	4596
899	40969	4552
900	41029	4508
901	41077	4463
902	41129	4418
903	41180	4373
904	41229	4327
905	41277	4282
906	41333	4238
907	41386	4193
908	41442	4148
909	41493	4103
910	41552	4059
911	41614	4015
912	41672	3971
913	41727	3926
914	41784	3881
915	41845	3837
916	41906	3793
917	41958	3747
918	42011	3702
919	42080	3659
920	42142	3614
921	42206	3570
922	42266	3526
923	42328	3481
924	42387	3436
925	42444	3391
926	42501	3346
927	42554	3301
928	42607	3256
929	42660	3210
930	42707	3165
931	42768	3120
932	42826	3075
933	42879	3030
934	42932	2984
935	42986	2939
936	43042	2894
937	43096	2848
938	43153	2803
939	43207	2757
940	43259	2712
941	43316	2667
942	43373	2621
943	43431	2576
944	43493	2531
945	43550	2485
946	43605	2440
947	43658	2394
948	43705	2348
949	43758	2303
950	43813	2257
951	43868	2211
952	43922	2166
953	43977	2120
954	44040	2075
955	44117	2030
956	44171	1984
957	44228	1939
958	44282	1893
959	44338	1847
960	44388	1801
961	44443	1755
962	44503	1709
963	44555	1663
964	44613	1618
965	44664	1572
966	44719	1526
967	44772	1480
968	44824	1434
969	44876	1387
970	44927	1341
971	44978	1295
972	45037	1249
973	45088	1203
974	45144	1157
975	45209	1111
976	45262	1065
977	45320	1019
978	45375	973
979	45420	926
980	45473	880
981	45529	834
982	45585	788
983	45644	742
984	45695	695
985	45746	649
986	45802	603
987	45850	556
988	45908	510
989	45960	464
990	46020	417
991	46073	371
992	46126	325
993	46178	278
994	46245	232
995	46302	185
996	46359	139
997	46409	93
998	46463	46
999	46522	0
